job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0057,batch_prediction,BACKGROUND,4,174,0.0,4.9329,2.0718,0.0,100.0,0.0236,38.0,SUCCESS
JOB-0058,batch_prediction,HIGH,4,88,0.0,5.1331,2.1559,0.0,100.0,0.0262,38.0,SUCCESS
JOB-0059,model_serving,HIGH,4,90,0.0,1.5618,0.656,0.0,100.0,0.0095,38.0,SUCCESS
JOB-0060,model_serving,BACKGROUND,4,363,0.0,1.5463,0.6494,0.0,100.0,0.0095,38.0,SUCCESS
JOB-0061,batch_prediction,NORMAL,4,69,0.0,5.2088,2.1877,0.0,100.0,0.0257,38.0,SUCCESS
JOB-0062,batch_prediction,NORMAL,4,109,0.0,4.2391,1.7804,0.0,100.0,0.0217,38.0,SUCCESS
JOB-0063,batch_prediction,CRITICAL,4,23,0.0,4.6322,1.9455,0.0,100.0,0.0226,38.0,SUCCESS
JOB-0064,llm_inference,BACKGROUND,3,319,0.0,1.9843,0.8334,0.0,100.0,0.0106,38.0,SUCCESS
JOB-0065,hyperparameter_tuning,HIGH,4,72,0.0,23.1701,9.7315,0.0,100.0,0.1419,38.0,SUCCESS
JOB-0066,hyperparameter_tuning,HIGH,4,88,0.0,31.2021,13.1049,0.0,100.0,0.1961,38.0,SUCCESS
JOB-0067,llm_inference,CRITICAL,3,11,0.0,1.7049,0.716,0.0,100.0,0.012,38.0,SUCCESS
JOB-0068,feature_engineering,HIGH,3,47,0.0,5.5505,2.3312,0.0,100.0,0.0342,38.0,SUCCESS
JOB-0069,hyperparameter_tuning,NORMAL,4,104,0.0,20.8838,8.7712,0.0,100.0,0.1042,38.0,SUCCESS
JOB-0070,model_training,CRITICAL,5,14,0.0,17.1285,7.194,0.0,100.0,0.1261,38.0,SUCCESS
JOB-0071,model_training,HIGH,5,75,0.0,17.6245,7.4023,0.0,100.0,0.1199,38.0,SUCCESS
JOB-0072,data_preprocessing,NORMAL,4,108,0.0,4.8433,2.0342,0.0,100.0,0.0308,38.0,SUCCESS
JOB-0073,batch_prediction,CRITICAL,4,19,0.0,5.1519,2.1638,0.0,100.0,0.0308,38.0,SUCCESS
JOB-0074,model_training,CRITICAL,5,23,0.0,15.8553,6.6592,0.0,100.0,0.0964,38.0,SUCCESS
JOB-0075,model_training,BACKGROUND,5,387,0.0,18.3785,7.719,0.0,100.0,0.0928,38.0,SUCCESS
JOB-0076,model_validation,BACKGROUND,4,245,0.0,4.5113,1.8948,0.0,100.0,0.0254,38.0,SUCCESS
JOB-0077,model_training,NORMAL,5,63,0.0,19.037,7.9956,0.0,100.0,0.1459,38.0,SUCCESS
JOB-0078,feature_engineering,HIGH,3,47,0.0,5.312,2.2311,0.0,100.0,0.0324,38.0,SUCCESS
JOB-0079,model_validation,CRITICAL,4,27,0.0,3.609,1.5158,0.0,100.0,0.0209,38.0,SUCCESS
JOB-0080,model_serving,BACKGROUND,4,244,0.0,1.1303,0.4747,0.0,100.0,0.0068,38.0,SUCCESS
JOB-0081,feature_engineering,BACKGROUND,3,401,0.0,5.5046,2.3119,0.0,100.0,0.0312,38.0,SUCCESS
JOB-0082,model_serving,NORMAL,4,155,0.0,1.2331,0.5179,0.0,100.0,0.0075,38.0,SUCCESS
JOB-0083,data_preprocessing,HIGH,4,63,0.0,5.7572,2.418,0.0,100.0,0.0334,38.0,SUCCESS
JOB-0084,model_training,HIGH,5,32,0.0,14.2461,5.9833,0.0,100.0,0.0737,38.0,SUCCESS
JOB-0085,model_validation,HIGH,4,48,0.0,4.0674,1.7083,0.0,100.0,0.0218,38.0,SUCCESS
JOB-0086,model_serving,NORMAL,4,165,0.0,1.2231,0.5137,0.0,100.0,0.0078,38.0,SUCCESS
JOB-0087,model_serving,CRITICAL,4,19,0.0,1.363,0.5724,0.0,100.0,0.0078,38.0,SUCCESS
JOB-0088,batch_prediction,CRITICAL,4,26,0.0,6.5037,2.7316,0.0,100.0,0.0507,38.0,SUCCESS
JOB-0089,model_serving,NORMAL,4,138,0.0,1.4938,0.6274,0.0,100.0,0.0084,38.0,SUCCESS
JOB-0090,model_training,HIGH,5,40,0.0,15.4368,6.4835,0.0,100.0,0.1156,38.0,SUCCESS
JOB-0091,model_serving,BACKGROUND,4,352,0.0,1.3523,0.568,0.0,100.0,0.0093,38.0,SUCCESS
JOB-0092,batch_prediction,NORMAL,4,114,0.0,6.8433,2.8742,0.0,100.0,0.0475,38.0,SUCCESS
JOB-0093,batch_prediction,HIGH,4,49,0.0,5.2863,2.2203,0.0,100.0,0.0372,38.0,SUCCESS
JOB-0094,model_validation,BACKGROUND,4,376,0.0,5.2398,2.2007,0.0,100.0,0.0397,38.0,SUCCESS
JOB-0095,model_serving,CRITICAL,4,10,0.0,1.6625,0.6983,0.0,100.0,0.0118,38.0,SUCCESS
JOB-0096,llm_inference,NORMAL,3,126,0.0,2.3389,0.9823,0.0,100.0,0.0192,38.0,SUCCESS
JOB-0097,model_validation,HIGH,4,60,0.0,4.6333,1.946,0.0,100.0,0.0275,38.0,SUCCESS
JOB-0098,feature_engineering,NORMAL,3,148,0.0,5.8167,2.443,0.0,100.0,0.0309,38.0,SUCCESS
JOB-0099,hyperparameter_tuning,CRITICAL,4,22,0.0,26.791,11.2522,0.0,100.0,0.1867,38.0,SUCCESS
JOB-0100,llm_inference,BACKGROUND,3,375,0.0,1.422,0.5972,0.0,100.0,0.0076,38.0,SUCCESS
