job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,best_time_slot,sla_compliance,escalation,total_cost_usd,avg_utilization,scale_actions,status
JOB-0056,llm_inference,CRITICAL,3,12,0.012,1.489,0.5597,33.9,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0057,batch_prediction,BACKGROUND,4,174,0.01,4.548,1.8492,29.7,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0058,batch_prediction,HIGH,4,88,0.012,4.622,1.9144,26.0,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0059,model_serving,HIGH,4,90,0.012,1.281,0.5064,29.5,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0060,model_serving,BACKGROUND,4,363,0.013,1.259,0.5191,27.3,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0061,batch_prediction,NORMAL,4,69,0.011,4.748,1.912,31.8,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0062,batch_prediction,NORMAL,4,109,0.011,3.815,1.6237,24.5,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0063,batch_prediction,CRITICAL,4,23,0.011,4.244,1.8211,26.3,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0064,llm_inference,BACKGROUND,3,319,0.012,1.748,0.7614,23.6,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0065,hyperparameter_tuning,HIGH,4,72,0.011,18.333,7.3497,29.4,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0066,hyperparameter_tuning,HIGH,4,88,0.011,24.23,10.2008,24.0,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0067,llm_inference,CRITICAL,3,11,0.012,1.244,0.531,26.5,12:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0068,feature_engineering,HIGH,3,47,0.012,4.585,1.8119,32.2,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0069,hyperparameter_tuning,NORMAL,4,104,0.012,18.659,7.8405,24.5,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0070,model_training,CRITICAL,5,14,0.012,12.911,5.411,24.4,12:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0071,model_training,HIGH,5,75,0.012,13.2,5.4292,31.8,14:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0072,data_preprocessing,NORMAL,4,108,0.01,3.859,1.5907,26.3,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0073,batch_prediction,CRITICAL,4,19,0.01,4.281,1.771,25.3,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0074,model_training,CRITICAL,5,23,0.012,13.126,5.4158,27.6,12:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0075,model_training,BACKGROUND,5,387,0.011,16.541,6.7123,30.1,12:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0076,model_validation,BACKGROUND,4,245,0.012,3.911,1.5855,33.2,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0077,model_training,NORMAL,5,63,0.012,13.933,5.8282,26.1,13:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0078,feature_engineering,HIGH,3,47,0.012,4.43,1.7964,27.9,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0079,model_validation,CRITICAL,4,27,0.01,3.081,1.2946,28.5,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0080,model_serving,BACKGROUND,4,244,0.013,0.941,0.405,26.3,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0081,feature_engineering,BACKGROUND,3,401,0.012,4.785,2.0767,20.6,14:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0082,model_serving,NORMAL,4,155,0.013,1.015,0.4129,26.6,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0083,data_preprocessing,HIGH,4,63,0.012,4.896,1.953,33.3,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0084,model_training,HIGH,5,32,0.012,12.719,5.1397,26.0,13:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0085,model_validation,HIGH,4,48,0.011,3.6,1.4428,31.0,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
