job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0091,model_serving,BACKGROUND,4,352,0.0,1.5667,0.5953,0.0,100.0,0.0137,42.0,SUCCESS
JOB-0092,batch_prediction,NORMAL,4,114,0.0,7.5778,2.8796,0.0,100.0,0.0663,42.0,SUCCESS
JOB-0093,batch_prediction,HIGH,4,49,0.0,5.8556,2.2251,0.0,100.0,0.0512,42.0,SUCCESS
JOB-0094,model_validation,BACKGROUND,4,376,0.0,5.7222,2.1744,0.0,100.0,0.0501,42.0,SUCCESS
JOB-0095,model_serving,CRITICAL,4,10,0.0,1.9,0.722,0.0,100.0,0.0166,42.0,SUCCESS
JOB-0096,llm_inference,NORMAL,3,126,0.0,2.4333,0.9247,0.0,100.0,0.0213,42.0,SUCCESS
JOB-0097,model_validation,HIGH,4,60,0.0,5.8556,2.2251,0.0,100.0,0.0512,42.0,SUCCESS
JOB-0098,feature_engineering,NORMAL,3,148,0.0,7.7889,2.9598,0.0,100.0,0.0682,42.0,SUCCESS
JOB-0099,hyperparameter_tuning,CRITICAL,4,22,0.0,31.4222,11.9404,0.0,100.0,0.2749,42.0,SUCCESS
JOB-0100,llm_inference,BACKGROUND,3,375,0.0,1.8778,0.7136,0.0,100.0,0.0164,42.0,SUCCESS
